pathway_id	pathway_name	gene_id
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	GRMZM2G060369
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	GRMZM2G125635
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	GRMZM2G137942
PWY1F-353	glycine betaine biosynthesis III (plants)	GRMZM2G156162
PWY1F-353	glycine betaine biosynthesis III (plants)	GRMZM2G016189
PWY1F-353	glycine betaine biosynthesis III (plants)	GRMZM2G146754
PWY1F-353	glycine betaine biosynthesis III (plants)	GRMZM2G013214
PWY1F-353	glycine betaine biosynthesis III (plants)	GRMZM2G135470
UDPNACETYLGALSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II	GRMZM2G005849
UDPNACETYLGALSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II	GRMZM2G180155
UDPNACETYLGALSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II	GRMZM2G011624
UDPNACETYLGALSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II	GRMZM2G166597
UDPNACETYLGALSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II	GRMZM2G160506
UDPNACETYLGALSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II	GRMZM2G064841
UDPNACETYLGALSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II	GRMZM2G044629
UDPNACETYLGALSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II	GRMZM2G119300
UDPNACETYLGALSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II	GRMZM2G149265
UDPNACETYLGALSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II	GRMZM2G178254
UDPNACETYLGALSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II	GRMZM2G019986
UDPNACETYLGALSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II	GRMZM2G155729
PWY-6305	putrescine biosynthesis IV	GRMZM2G374302
PWY-6305	putrescine biosynthesis IV	GRMZM2G396553
PWY-6305	putrescine biosynthesis IV	GRMZM2G174671
PWY-6305	putrescine biosynthesis IV	GRMZM5G831308
PWY-6305	putrescine biosynthesis IV	GRMZM2G140824
PWY-43	putrescine biosynthesis II	GRMZM2G374302
PWY-43	putrescine biosynthesis II	GRMZM2G396553
PWY-43	putrescine biosynthesis II	GRMZM2G064159
PWY-43	putrescine biosynthesis II	GRMZM2G073950
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G458549
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G033930
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G077780
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G019144
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G074015
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G165931
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G098900
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G312839
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G469523
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G136439
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G143917
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G149224
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G009435
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G038598
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G150541
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G078480
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G154532
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G171662
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G180922
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G107076
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G410865
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G110881
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G052336
COLANSYN-PWY	colanic acid building blocks biosynthesis	AC234526.1_FG005
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM5G860241
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G138410
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G111216
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G007252
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G064841
COLANSYN-PWY	colanic acid building blocks biosynthesis	AC233910.1_FG005
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G044629
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G098370
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G116586
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G396565
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G161493
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G032003
COLANSYN-PWY	colanic acid building blocks biosynthesis	AC216869.3_FG001
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G378402
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G178254
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G019986
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G155729
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G328500
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G442658
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G058244
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G152975
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G152981
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G397055
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G154007
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G149272
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G098346
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM5G862540
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G300412
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G157772
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G161233
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G000632
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G044281
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G044027
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G170336
COLANSYN-PWY	colanic acid building blocks biosynthesis	gpm461b
COLANSYN-PWY	colanic acid building blocks biosynthesis	rcp1
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G042179
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G052357
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G110558
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G074850
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G429118
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G382038
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G017678
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G165357
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G166767
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM5G830983
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G115124
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G455306
